Surface-Form,Link,Part-of-Speech
Bulgarian,https://en.wikipedia.org/wiki/Bulgarian,JJ
Italian,https://en.wikipedia.org/wiki/Italian,JJ
Spanish,https://en.wikipedia.org/wiki/Spanish,JJ
French,https://en.wikipedia.org/wiki/French,JJ
silent letters,https://en.wikipedia.org/wiki/silent_letters,JJ NNS
nasal vowels,https://en.wikipedia.org/wiki/nasal_vowels,NN NNS
elision,https://en.wikipedia.org/wiki/elision,NN
Great Vowel Shift,https://en.wikipedia.org/wiki/Great_Vowel_Shift,NNP NNP NNP
spelling reform,https://en.wikipedia.org/wiki/spelling_reform,VBG NN
Turkey,https://en.wikipedia.org/wiki/Turkey,NN
Turkish alphabet,https://en.wikipedia.org/wiki/Turkish_alphabet,JJ NN
linguists,https://en.wikipedia.org/wiki/linguists,NNS
International Phonetic Alphabet,https://en.wikipedia.org/wiki/International_Phonetic_Alphabet,NNP NNP NNP
See also,https://en.wikipedia.org/wiki/See_also,NNP RB
A Is For Aardvark,https://en.wikipedia.org/wiki/A_Is_For_Aardvark,DT NNP IN NNP
Abecedarium,https://en.wikipedia.org/wiki/Abecedarium,NN
Acrophony,https://en.wikipedia.org/wiki/Acrophony,NN
Akshara,https://en.wikipedia.org/wiki/Akshara,NN
Alphabet book,https://en.wikipedia.org/wiki/Alphabet_book,NNP NN
Alphabet effect,https://en.wikipedia.org/wiki/Alphabet_effect,NNP NN
Alphabet song,https://en.wikipedia.org/wiki/Alphabet_song,NN NN
Alphabetical order,https://en.wikipedia.org/wiki/Alphabetical_order,JJ NN
Butterfly Alphabet,https://en.wikipedia.org/wiki/Butterfly_Alphabet,NNP NNP
Character encoding,https://en.wikipedia.org/wiki/Character_encoding,NN VBG
Constructed script,https://en.wikipedia.org/wiki/Constructed_script,VBN NN
Cyrillic,https://en.wikipedia.org/wiki/Cyrillic,JJ
English alphabet,https://en.wikipedia.org/wiki/English_alphabet,JJ NN
Hangul,https://en.wikipedia.org/wiki/Hangul,NN
ICAO spelling alphabet,https://en.wikipedia.org/wiki/ICAO_spelling_alphabet,NNP VBG NN
Lipogram,https://en.wikipedia.org/wiki/Lipogram,NN
List of alphabets,https://en.wikipedia.org/wiki/List_of_alphabets,NN IN NNS
Pangram,https://en.wikipedia.org/wiki/Pangram,NN
Thai script,https://en.wikipedia.org/wiki/Thai_script,NNP NN
Thoth,https://en.wikipedia.org/wiki/Thoth,DT
Transliteration,https://en.wikipedia.org/wiki/Transliteration,NN
Unicode,https://en.wikipedia.org/wiki/Unicode,NN
References,https://en.wikipedia.org/wiki/References,NNS
Bibliography,https://en.wikipedia.org/wiki/Bibliography,NN
The Writing Systems of the World,https://en.wikipedia.org/wiki/The_Writing_Systems_of_the_World,DT NNP NNPS IN DT NNP
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
Oxford University Press,https://en.wikipedia.org/wiki/Oxford_University_Press,NNP NNP NNP
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
"Driver, G. R.","https://en.wikipedia.org/wiki/Driver,_G._R.","NNP , NNP NNP ."
Schweich Lectures on Biblical Archaeology,https://en.wikipedia.org/wiki/Schweich_Lectures_on_Biblical_Archaeology,NNP VBZ IN NNP NNP
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
In the Beginning: A Short History of the Hebrew Language,https://en.wikipedia.org/wiki/In_the_Beginning:_A_Short_History_of_the_Hebrew_Language,IN DT NN : DT JJ NN IN DT NNP NNP
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
doi,https://en.wikipedia.org/wiki/doi,NN
10.1080/00438243.1986.9979978,https://en.wikipedia.org/wiki/10.1080/00438243.1986.9979978,CD
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
Cambridge University Press,https://en.wikipedia.org/wiki/Cambridge_University_Press,NNP NNP NNP
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
Letter Perfect: The Marvelous History of Our Alphabet from A to Z,https://en.wikipedia.org/wiki/Letter_Perfect:_The_Marvelous_History_of_Our_Alphabet_from_A_to_Z,NN NNP : DT NNP NNP IN PRP$ NNP IN NNP TO VB
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
Yale University Press,https://en.wikipedia.org/wiki/Yale_University_Press,NNP NNP NNP
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
External links,https://en.wikipedia.org/wiki/External_links,JJ NNS
The Origins of abc,https://en.wikipedia.org/wiki/The_Origins_of_abc,DT NNP IN NN
\,https://en.wikipedia.org/wiki/\,NN
Michael Everson,https://en.wikipedia.org/wiki/Michael_Everson,NNP NNP
Alphabets of Europe,https://en.wikipedia.org/wiki/Alphabets_of_Europe,NNS IN NNP
Evolution of alphabets,https://en.wikipedia.org/wiki/Evolution_of_alphabets,NN IN NNS
University of Maryland,https://en.wikipedia.org/wiki/University_of_Maryland,NNP IN NNP
How the Alphabet Was Born from Hieroglyphs,https://en.wikipedia.org/wiki/How_the_Alphabet_Was_Born_from_Hieroglyphs,WRB DT NNP NNP NNP IN NNP
An Early Hellenic Alphabet,https://en.wikipedia.org/wiki/An_Early_Hellenic_Alphabet,DT JJ NNP NNP
peer-reviewed,https://en.wikipedia.org/wiki/peer-reviewed,JJ
open access,https://en.wikipedia.org/wiki/open_access,JJ NN
mathematics journal,https://en.wikipedia.org/wiki/mathematics_journal,NNS NN
algorithms,https://en.wikipedia.org/wiki/algorithms,NN
MDPI,https://en.wikipedia.org/wiki/MDPI,NN
editor-in-chief,https://en.wikipedia.org/wiki/editor-in-chief,NN
Kazuo Iwama,https://en.wikipedia.org/wiki/Kazuo_Iwama,NNP NNP
Abstracting and indexing,https://en.wikipedia.org/wiki/Abstracting_and_indexing,VBG CC VBG
Chemical Abstracts Service,https://en.wikipedia.org/wiki/Chemical_Abstracts_Service,NNP NNP NNP
Compendex,https://en.wikipedia.org/wiki/Compendex,NN
DBLP Computer Science Bibliography,https://en.wikipedia.org/wiki/DBLP_Computer_Science_Bibliography,NNP NNP NNP NNP
Inspec,https://en.wikipedia.org/wiki/Inspec,NN
MathSciNet,https://en.wikipedia.org/wiki/MathSciNet,NN
Scopus,https://en.wikipedia.org/wiki/Scopus,NN
Zentralblatt MATH,https://en.wikipedia.org/wiki/Zentralblatt_MATH,NNP NNP
See also,https://en.wikipedia.org/wiki/See_also,NNP RB
ACM Transactions on Algorithms,https://en.wikipedia.org/wiki/ACM_Transactions_on_Algorithms,NNP NNP IN NNP
Algorithmica,https://en.wikipedia.org/wiki/Algorithmica,NNP
References,https://en.wikipedia.org/wiki/References,NNS
External links,https://en.wikipedia.org/wiki/External_links,JJ NNS
Official website,https://en.wikipedia.org/wiki/Official_website,NNP NN
law,https://en.wikipedia.org/wiki/law,NN
legal document,https://en.wikipedia.org/wiki/legal_document,JJ NN
Abstract of title,https://en.wikipedia.org/wiki/Abstract_of_title,NNP IN NN
Abstract of title,https://en.wikipedia.org/wiki/Abstract_of_title,NNP IN NN
real estate,https://en.wikipedia.org/wiki/real_estate,JJ NN
deeds,https://en.wikipedia.org/wiki/deeds,NNS
wills,https://en.wikipedia.org/wiki/wills,NNS
mortgages,https://en.wikipedia.org/wiki/mortgages,NNS
ownership,https://en.wikipedia.org/wiki/ownership,NN
Clear title,https://en.wikipedia.org/wiki/Clear_title,JJ NN
Patent law,https://en.wikipedia.org/wiki/Patent_law,NN NN
patent,https://en.wikipedia.org/wiki/patent,NN
prior art,https://en.wikipedia.org/wiki/prior_art,JJ NN
novelty,https://en.wikipedia.org/wiki/novelty,NN
inventive step,https://en.wikipedia.org/wiki/inventive_step,JJ NN
non-obviousness,https://en.wikipedia.org/wiki/non-obviousness,JJ
United States patent law,https://en.wikipedia.org/wiki/United_States_patent_law,NNP NNPS NN NN
Administrative process,https://en.wikipedia.org/wiki/Administrative_process,JJ NN
Notes,https://en.wikipedia.org/wiki/Notes,NNS
See also,https://en.wikipedia.org/wiki/See_also,NNP RB
Property abstract,https://en.wikipedia.org/wiki/Property_abstract,NN NN
References,https://en.wikipedia.org/wiki/References,NNS
World Book,https://en.wikipedia.org/wiki/World_Book,NNP NNP
External links,https://en.wikipedia.org/wiki/External_links,JJ NNS
Rule 8,https://en.wikipedia.org/wiki/Rule_8,NN CD
PCT,https://en.wikipedia.org/wiki/PCT,NN
Patent Cooperation Treaty,https://en.wikipedia.org/wiki/Patent_Cooperation_Treaty,NNP NNP NNP
Article 85,https://en.wikipedia.org/wiki/Article_85,NN CD
EPC,https://en.wikipedia.org/wiki/EPC,NN
Rule 47,https://en.wikipedia.org/wiki/Rule_47,NN CD
EPC,https://en.wikipedia.org/wiki/EPC,NN
Rule 33,https://en.wikipedia.org/wiki/Rule_33,NN CD
EPC 1973,https://en.wikipedia.org/wiki/EPC_1973,NN CD
European patent application,https://en.wikipedia.org/wiki/European_patent_application,JJ NN NN
Hindu–Arabic numeral system,https://en.wikipedia.org/wiki/Hindu–Arabic_numeral_system,NNP JJ NN
Eastern Europe,https://en.wikipedia.org/wiki/Eastern_Europe,NNP NNP
Russia,https://en.wikipedia.org/wiki/Russia,NN
China,https://en.wikipedia.org/wiki/China,NNP
Africa,https://en.wikipedia.org/wiki/Africa,NNP
Etymology,https://en.wikipedia.org/wiki/Etymology,NN
Middle English,https://en.wikipedia.org/wiki/Middle_English,NNP NNP
Latin,https://en.wikipedia.org/wiki/Latin,NN
Greek,https://en.wikipedia.org/wiki/Greek,JJ
genitive form,https://en.wikipedia.org/wiki/genitive_form,JJ NN
Northwest Semitic,https://en.wikipedia.org/wiki/Northwest_Semitic,NNP NNP
Phoenician,https://en.wikipedia.org/wiki/Phoenician,JJ
Hebrew,https://en.wikipedia.org/wiki/Hebrew,NN
History,https://en.wikipedia.org/wiki/History,NN
Mesopotamian,https://en.wikipedia.org/wiki/Mesopotamian,JJ
Sumerian,https://en.wikipedia.org/wiki/Sumerian,JJ
sexagesimal,https://en.wikipedia.org/wiki/sexagesimal,NN
Babylonian,https://en.wikipedia.org/wiki/Babylonian,JJ
cuneiform,https://en.wikipedia.org/wiki/cuneiform,NN
addition,https://en.wikipedia.org/wiki/addition,NN
subtraction,https://en.wikipedia.org/wiki/subtraction,NN
Egyptian,https://en.wikipedia.org/wiki/Egyptian,JJ
Ancient Egypt,https://en.wikipedia.org/wiki/Ancient_Egypt,NNP NNP
Herodotus,https://en.wikipedia.org/wiki/Herodotus,NN
Persian,https://en.wikipedia.org/wiki/Persian,JJ
Achaemenid Empire,https://en.wikipedia.org/wiki/Achaemenid_Empire,NNP NNP
Parthian,https://en.wikipedia.org/wiki/Parthian,JJ
Sassanian,https://en.wikipedia.org/wiki/Sassanian,JJ
Iranian,https://en.wikipedia.org/wiki/Iranian,JJ
India,https://en.wikipedia.org/wiki/India,NNP
China,https://en.wikipedia.org/wiki/China,NNP
Roman Empire,https://en.wikipedia.org/wiki/Roman_Empire,NNP NNP
Greek,https://en.wikipedia.org/wiki/Greek,JJ
Demosthenes,https://en.wikipedia.org/wiki/Demosthenes,NNS
Alexis,https://en.wikipedia.org/wiki/Alexis,NN
Diogenes,https://en.wikipedia.org/wiki/Diogenes,NNS
Polybius,https://en.wikipedia.org/wiki/Polybius,NN
Salamis,https://en.wikipedia.org/wiki/Salamis,NN
Salamis Tablet,https://en.wikipedia.org/wiki/Salamis_Tablet,NNP NNP
Chinese,https://en.wikipedia.org/wiki/Chinese,JJ
Suanpan,https://en.wikipedia.org/wiki/Suanpan,NN
suanpan,https://en.wikipedia.org/wiki/suanpan,NN
decimal,https://en.wikipedia.org/wiki/decimal,NN
hexadecimal,https://en.wikipedia.org/wiki/hexadecimal,NN
hardwood,https://en.wikipedia.org/wiki/hardwood,NN
multiplication,https://en.wikipedia.org/wiki/multiplication,NN
division,https://en.wikipedia.org/wiki/division,NN
addition,https://en.wikipedia.org/wiki/addition,NN
subtraction,https://en.wikipedia.org/wiki/subtraction,NN
square root,https://en.wikipedia.org/wiki/square_root,JJ NN
cube root,https://en.wikipedia.org/wiki/cube_root,NN NN
Along the River During the Qingming Festival,https://en.wikipedia.org/wiki/Along_the_River_During_the_Qingming_Festival,IN DT NNP IN DT NNP NNP
Zhang Zeduan,https://en.wikipedia.org/wiki/Zhang_Zeduan,NNP NNP
Song dynasty,https://en.wikipedia.org/wiki/Song_dynasty,NNP NN
apothecary,https://en.wikipedia.org/wiki/apothecary,JJ
Roman abacus,https://en.wikipedia.org/wiki/Roman_abacus,NNP NN
Roman Empire,https://en.wikipedia.org/wiki/Roman_Empire,NNP NNP
hexadecimal,https://en.wikipedia.org/wiki/hexadecimal,NN
counting rods,https://en.wikipedia.org/wiki/counting_rods,VBG NNS
decimal system,https://en.wikipedia.org/wiki/decimal_system,JJ NN
zero,https://en.wikipedia.org/wiki/zero,NN
Tang dynasty,https://en.wikipedia.org/wiki/Tang_dynasty,NNP NN
Indian Ocean,https://en.wikipedia.org/wiki/Indian_Ocean,JJ NNP
Middle East,https://en.wikipedia.org/wiki/Middle_East,NNP NNP
India,https://en.wikipedia.org/wiki/India,NNP
decimal point,https://en.wikipedia.org/wiki/decimal_point,JJ NN
Roman,https://en.wikipedia.org/wiki/Roman,NN
Roman abacus,https://en.wikipedia.org/wiki/Roman_abacus,NNP NN
jetons,https://en.wikipedia.org/wiki/jetons,NNS
Roman numeral,https://en.wikipedia.org/wiki/Roman_numeral,NNP JJ
Pope Sylvester II,https://en.wikipedia.org/wiki/Pope_Sylvester_II,NNP NNP NNP
Roman abacus,https://en.wikipedia.org/wiki/Roman_abacus,NNP NN
bi-quinary coded decimal,https://en.wikipedia.org/wiki/bi-quinary_coded_decimal,JJ VBD JJ
Roman numerals,https://en.wikipedia.org/wiki/Roman_numerals,JJ NNS
Indian,https://en.wikipedia.org/wiki/Indian,JJ
Abhidharmakośabhāṣya,https://en.wikipedia.org/wiki/Abhidharmakośabhāṣya,NN
Vasubandhu,https://en.wikipedia.org/wiki/Vasubandhu,NN
Vasumitra,https://en.wikipedia.org/wiki/Vasumitra,NNP
Japanese,https://en.wikipedia.org/wiki/Japanese,JJ
Soroban,https://en.wikipedia.org/wiki/Soroban,NN
soroban,https://en.wikipedia.org/wiki/soroban,NN
electronic calculators,https://en.wikipedia.org/wiki/electronic_calculators,JJ NNS
primary schools,https://en.wikipedia.org/wiki/primary_schools,JJ NNS
mathematics,https://en.wikipedia.org/wiki/mathematics,NNS
Korean,https://en.wikipedia.org/wiki/Korean,JJ
Korea,https://en.wikipedia.org/wiki/Korea,NNP
Native American,https://en.wikipedia.org/wiki/Native_American,JJ JJ
Aztec,https://en.wikipedia.org/wiki/Aztec,NN
Nahuatl,https://en.wikipedia.org/wiki/Nahuatl,NN
Calmecac,https://en.wikipedia.org/wiki/Calmecac,NN
floating point,https://en.wikipedia.org/wiki/floating_point,VBG NN
Olmec,https://en.wikipedia.org/wiki/Olmec,NN
Mayan,https://en.wikipedia.org/wiki/Mayan,NN
Yucatán peninsula,https://en.wikipedia.org/wiki/Yucatán_peninsula,NNP NN
Sylvanus Morley,https://en.wikipedia.org/wiki/Sylvanus_Morley,NNP NNP
quipu,https://en.wikipedia.org/wiki/quipu,NN
Incas,https://en.wikipedia.org/wiki/Incas,NN
tally sticks,https://en.wikipedia.org/wiki/tally_sticks,RB NNS
yupana,https://en.wikipedia.org/wiki/yupana,NN
Quechua,https://en.wikipedia.org/wiki/Quechua,NN
Fibonacci sequence,https://en.wikipedia.org/wiki/Fibonacci_sequence,NNP NN
Russian,https://en.wikipedia.org/wiki/Russian,JJ
former Soviet Union,https://en.wikipedia.org/wiki/former_Soviet_Union,JJ NNP NNP
mechanical calculator,https://en.wikipedia.org/wiki/mechanical_calculator,JJ NN
Odhner arithmometer,https://en.wikipedia.org/wiki/Odhner_arithmometer,NNP NN
Russia,https://en.wikipedia.org/wiki/Russia,NN
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union,NNP NNP
microcalculators,https://en.wikipedia.org/wiki/microcalculators,NNS
Jean-Victor Poncelet,https://en.wikipedia.org/wiki/Jean-Victor_Poncelet,NNP NNP
Napoleon,https://en.wikipedia.org/wiki/Napoleon,NN
algorismic,https://en.wikipedia.org/wiki/algorismic,JJ
Turks,https://en.wikipedia.org/wiki/Turks,NNS
Armenian,https://en.wikipedia.org/wiki/Armenian,JJ
School abacus,https://en.wikipedia.org/wiki/School_abacus,NNP NN
numeral system,https://en.wikipedia.org/wiki/numeral_system,JJ NN
arithmetic,https://en.wikipedia.org/wiki/arithmetic,JJ
Dutch,https://en.wikipedia.org/wiki/Dutch,NN
Renaissance abaci gallery,https://en.wikipedia.org/wiki/Renaissance_abaci_gallery,NNP NN NN
Uses by the blind,https://en.wikipedia.org/wiki/Uses_by_the_blind,NNS IN DT NN
blind,https://en.wikipedia.org/wiki/blind,NN
multiplication,https://en.wikipedia.org/wiki/multiplication,NN
division,https://en.wikipedia.org/wiki/division,NN
addition,https://en.wikipedia.org/wiki/addition,NN
subtraction,https://en.wikipedia.org/wiki/subtraction,NN
square root,https://en.wikipedia.org/wiki/square_root,JJ NN
cube root,https://en.wikipedia.org/wiki/cube_root,NN NN
Nemeth code,https://en.wikipedia.org/wiki/Nemeth_code,NNP NN
Binary abacus,https://en.wikipedia.org/wiki/Binary_abacus,JJ NN
ASCII,https://en.wikipedia.org/wiki/ASCII,NN
See also,https://en.wikipedia.org/wiki/See_also,NNP RB
Abacus logic,https://en.wikipedia.org/wiki/Abacus_logic,NNP NN
Chisanbop,https://en.wikipedia.org/wiki/Chisanbop,NN
Mental abacus,https://en.wikipedia.org/wiki/Mental_abacus,JJ NN
Napier's bones,https://en.wikipedia.org/wiki/Napier's_bones,NNP POS NNS
Sand table,https://en.wikipedia.org/wiki/Sand_table,NN NN
Slide rule,https://en.wikipedia.org/wiki/Slide_rule,NN NN
Soroban,https://en.wikipedia.org/wiki/Soroban,NN
Suanpan,https://en.wikipedia.org/wiki/Suanpan,NN
Notes,https://en.wikipedia.org/wiki/Notes,NNS
Footnotes,https://en.wikipedia.org/wiki/Footnotes,NNS
References,https://en.wikipedia.org/wiki/References,NNS
\,https://en.wikipedia.org/wiki/\,NN
Archived,https://en.wikipedia.org/wiki/Archived,VBN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
\,https://en.wikipedia.org/wiki/\,NN
Archived,https://en.wikipedia.org/wiki/Archived,VBN
\,https://en.wikipedia.org/wiki/\,NN
Archived,https://en.wikipedia.org/wiki/Archived,VBN
 [Abacus],https://en.wikipedia.org/wiki/_[Abacus],JJ NNP NN
Archived,https://en.wikipedia.org/wiki/Archived,VBN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
The Abacus and the Cross: The Story of the Pope Who Brought the Light of Science to the Dark Ages,https://en.wikipedia.org/wiki/The_Abacus_and_the_Cross:_The_Story_of_the_Pope_Who_Brought_the_Light_of_Science_to_the_Dark_Ages,DT NNP CC DT NN : DT NNP IN DT NNP NNP VBD DT NNP IN NNP TO DT NNP NNP
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
Everything You Think You Know About the Dark Ages is Wrong,https://en.wikipedia.org/wiki/Everything_You_Think_You_Know_About_the_Dark_Ages_is_Wrong,NN PRP VBP PRP VBP IN DT NNP NNP VBZ JJ
Archived,https://en.wikipedia.org/wiki/Archived,VBN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
\,https://en.wikipedia.org/wiki/\,NN
Archived,https://en.wikipedia.org/wiki/Archived,VBN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
LCCN,https://en.wikipedia.org/wiki/LCCN,NN
23016143,https://en.wikipedia.org/wiki/23016143,CD
\,https://en.wikipedia.org/wiki/\,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
"The Rise of Early Modern Science: Islam, China and the West","https://en.wikipedia.org/wiki/The_Rise_of_Early_Modern_Science:_Islam,_China_and_the_West","DT NN IN JJ JJ NN : NNP , NNP CC DT NNP"
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
LCCN,https://en.wikipedia.org/wiki/LCCN,NN
77467964,https://en.wikipedia.org/wiki/77467964,CD
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
\,https://en.wikipedia.org/wiki/\,NN
St. Lawrence University,https://en.wikipedia.org/wiki/St._Lawrence_University,NNP NNP NNP
Archived,https://en.wikipedia.org/wiki/Archived,VBN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
CRC Press,https://en.wikipedia.org/wiki/CRC_Press,NNP NNP
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
\,https://en.wikipedia.org/wiki/\,NN
Archived,https://en.wikipedia.org/wiki/Archived,VBN
Assistive Technology for Students who are Blind Or Visually Impaired: A Guide to Assessment,https://en.wikipedia.org/wiki/Assistive_Technology_for_Students_who_are_Blind_Or_Visually_Impaired:_A_Guide_to_Assessment,NNP NNP IN NNS WP VBP NNP NNP RB VBD : DT NNP TO VB
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
LCCN,https://en.wikipedia.org/wiki/LCCN,NN
72075113,https://en.wikipedia.org/wiki/72075113,CD
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
\,https://en.wikipedia.org/wiki/\,NN
Archived,https://en.wikipedia.org/wiki/Archived,VBN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
LCCN,https://en.wikipedia.org/wiki/LCCN,NN
96045232,https://en.wikipedia.org/wiki/96045232,CD
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
Further reading,https://en.wikipedia.org/wiki/Further_reading,RB NN
\,https://en.wikipedia.org/wiki/\,NN
Archived,https://en.wikipedia.org/wiki/Archived,VBN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
Ancient Computers,https://en.wikipedia.org/wiki/Ancient_Computers,JJ NNS
ISBN,https://en.wikipedia.org/wiki/ISBN,NN
External links,https://en.wikipedia.org/wiki/External_links,JJ NNS
Encyclopædia Britannica,https://en.wikipedia.org/wiki/Encyclopædia_Britannica,NNP NNP
Tutorials,https://en.wikipedia.org/wiki/Tutorials,NNS
Abacus: Mystery of the Bead - an Abacus Manual,https://en.wikipedia.org/wiki/Abacus:_Mystery_of_the_Bead_-_an_Abacus_Manual,NN : NN IN DT NNP : DT NNP NNP
Min Multimedia,https://en.wikipedia.org/wiki/Min_Multimedia,NNP NNP
How to use a Counting Board Abacus,https://en.wikipedia.org/wiki/How_to_use_a_Counting_Board_Abacus,WRB TO VB DT NNP NNP NNP
Abacus curiosities,https://en.wikipedia.org/wiki/Abacus_curiosities,NNP NNS
Abacus,https://en.wikipedia.org/wiki/Abacus,NN
Wolfram Demonstrations Project,https://en.wikipedia.org/wiki/Wolfram_Demonstrations_Project,NNP NNP NNP
Abacus in Various Number Systems,https://en.wikipedia.org/wiki/Abacus_in_Various_Number_Systems,NNP IN NNP NNP NNPS
cut-the-knot,https://en.wikipedia.org/wiki/cut-the-knot,NN
"Java applet of Chinese, Japanese and Russian abaci","https://en.wikipedia.org/wiki/Java_applet_of_Chinese,_Japanese_and_Russian_abaci","NNP NN IN NNP , JJ CC JJ NN"
An atomic-scale abacus,https://en.wikipedia.org/wiki/An_atomic-scale_abacus,DT JJ NN
Examples of Abaci,https://en.wikipedia.org/wiki/Examples_of_Abaci,NNS IN NNP
Aztex Abacus,https://en.wikipedia.org/wiki/Aztex_Abacus,NNP NNP
U.S. foreign policy,https://en.wikipedia.org/wiki/U.S._foreign_policy,NNP JJ NN
Angolan economy,https://en.wikipedia.org/wiki/Angolan_economy,NNP NN
Angola,https://en.wikipedia.org/wiki/Angola,NNP
Eastern bloc,https://en.wikipedia.org/wiki/Eastern_bloc,JJ NN
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union,NNP NNP
Libya,https://en.wikipedia.org/wiki/Libya,NN
Cuba,https://en.wikipedia.org/wiki/Cuba,NNP
Western countries,https://en.wikipedia.org/wiki/Western_countries,JJ NNS
Central Africa,https://en.wikipedia.org/wiki/Central_Africa,NNP NNP
United States,https://en.wikipedia.org/wiki/United_States,NNP NNPS
Southern African Development Community,https://en.wikipedia.org/wiki/Southern_African_Development_Community,JJ NNP NNP NNP
Zimbabwe,https://en.wikipedia.org/wiki/Zimbabwe,NN
Namibia,https://en.wikipedia.org/wiki/Namibia,NN
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,JJ NNP IN DT NNP
Joseph Kabila,https://en.wikipedia.org/wiki/Joseph_Kabila,NNP NNP
Republic of the Congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo,NNP IN DT NNP
United Nations Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council,NNP NNP NNP NNP
UNITA,https://en.wikipedia.org/wiki/UNITA,NN
conflict diamonds,https://en.wikipedia.org/wiki/conflict_diamonds,NN NNS
CPLP,https://en.wikipedia.org/wiki/CPLP,NN
Portugal,https://en.wikipedia.org/wiki/Portugal,NN
Brazil,https://en.wikipedia.org/wiki/Brazil,NNP
Sub-Saharan Africa,https://en.wikipedia.org/wiki/Sub-Saharan_Africa,NNP NNP
Cape Verde,https://en.wikipedia.org/wiki/Cape_Verde,NNP NNP
Angola–Cape Verde relations,https://en.wikipedia.org/wiki/Angola–Cape_Verde_relations,NNP NNP NNS
Cape Verde,https://en.wikipedia.org/wiki/Cape_Verde,NNP NNP
Angola,https://en.wikipedia.org/wiki/Angola,NNP
Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau,NN
Cuban troops,https://en.wikipedia.org/wiki/Cuban_troops,NNP NNS
UNITA,https://en.wikipedia.org/wiki/UNITA,NN
South African,https://en.wikipedia.org/wiki/South_African,JJ JJ
Prime Minister,https://en.wikipedia.org/wiki/Prime_Minister,NNP NNP
Pedro Pires,https://en.wikipedia.org/wiki/Pedro_Pires,NNP NNS
FARP,https://en.wikipedia.org/wiki/FARP,NN
Angolan President,https://en.wikipedia.org/wiki/Angolan_President,NNP NNP
José Eduardo dos Santos,https://en.wikipedia.org/wiki/José_Eduardo_dos_Santos,NNP NNP NN NNP
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,JJ NNP IN DT NNP
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo,JJ NNP IN DT NNP
Kinshasa,https://en.wikipedia.org/wiki/Kinshasa,NNP
Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau,NN
Guinea-Bissau,https://en.wikipedia.org/wiki/Guinea-Bissau,NN
Pretorian Guard,https://en.wikipedia.org/wiki/Pretorian_Guard,JJ NNP
PAIGC,https://en.wikipedia.org/wiki/PAIGC,NN
Coup d'état,https://en.wikipedia.org/wiki/Coup_d'état,NNP NN
Namibia,https://en.wikipedia.org/wiki/Namibia,NN
