Surface-Form,Link,Part-of-Speech
Betty of Graystone,https://en.wikipedia.org/wiki/Betty_of_Graystone,NNP IN NNP
The Habit of Happiness,https://en.wikipedia.org/wiki/The_Habit_of_Happiness,DT NNP IN NNP
The Good Bad Man,https://en.wikipedia.org/wiki/The_Good_Bad_Man,DT JJ NNP NN
An Innocent Magdalene,https://en.wikipedia.org/wiki/An_Innocent_Magdalene,DT JJ NN
The Half-Breed,https://en.wikipedia.org/wiki/The_Half-Breed,DT NNP
Manhattan Madness,https://en.wikipedia.org/wiki/Manhattan_Madness,NNP NNP
Accusing Evidence,https://en.wikipedia.org/wiki/Accusing_Evidence,VBG NN
Panthea,https://en.wikipedia.org/wiki/Panthea,NN
A Modern Musketeer,https://en.wikipedia.org/wiki/A_Modern_Musketeer,DT NNP NNP
Headin' South,https://en.wikipedia.org/wiki/Headin'_South,NNP POS NNP
Mr. Fix-It,https://en.wikipedia.org/wiki/Mr._Fix-It,NNP NNP
He Comes Up Smiling,https://en.wikipedia.org/wiki/He_Comes_Up_Smiling,PRP VBZ RP VBG
Getting Mary Married,https://en.wikipedia.org/wiki/Getting_Mary_Married,VBG NNP NNP
In The Heart of a Fool,https://en.wikipedia.org/wiki/In_The_Heart_of_a_Fool,IN DT NNP IN DT NN
The Forbidden Thing,https://en.wikipedia.org/wiki/The_Forbidden_Thing,DT NNP NN
A Splendid Hazard (1920),https://en.wikipedia.org/wiki/A_Splendid_Hazard_(1920),DT NNP NNP ( CD )
Robin Hood,https://en.wikipedia.org/wiki/Robin_Hood,NNP NNP
Zaza,https://en.wikipedia.org/wiki/Zaza,NN
Big Brother,https://en.wikipedia.org/wiki/Big_Brother,JJ NN
Manhandled,https://en.wikipedia.org/wiki/Manhandled,VBN
Night Life of New York,https://en.wikipedia.org/wiki/Night_Life_of_New_York,NNP NNP IN NNP NNP
Stage Struck,https://en.wikipedia.org/wiki/Stage_Struck,NNP VBD
Gloria Swanson Dialogue,https://en.wikipedia.org/wiki/Gloria_Swanson_Dialogue,NNP NNP NNP
Phonofilm,https://en.wikipedia.org/wiki/Phonofilm,NN
The Lambs,https://en.wikipedia.org/wiki/The_Lambs,DT NNP
Metropolitan Opera House,https://en.wikipedia.org/wiki/Metropolitan_Opera_House,NNP NNP NNP
Tin Gods,https://en.wikipedia.org/wiki/Tin_Gods,NNP NNS
The Joy Girl,https://en.wikipedia.org/wiki/The_Joy_Girl,DT NNP NNP
"East Side, West Side","https://en.wikipedia.org/wiki/East_Side,_West_Side","NNP NNP , NNP NNP"
The Big Noise,https://en.wikipedia.org/wiki/The_Big_Noise,DT NNP NN
The Iron Mask,https://en.wikipedia.org/wiki/The_Iron_Mask,DT NNP NNP
Tide of Empire,https://en.wikipedia.org/wiki/Tide_of_Empire,NNP IN NNP
The Far Call,https://en.wikipedia.org/wiki/The_Far_Call,DT NNP NNP
What a Widow!,https://en.wikipedia.org/wiki/What_a_Widow!,WP DT NN .
Man to Man,https://en.wikipedia.org/wiki/Man_to_Man,NN TO VB
Chances,https://en.wikipedia.org/wiki/Chances,NNS
Wicked,https://en.wikipedia.org/wiki/Wicked,VBD
While Paris Sleeps,https://en.wikipedia.org/wiki/While_Paris_Sleeps,IN NNP NNP
Counsel's Opinion,https://en.wikipedia.org/wiki/Counsel's_Opinion,NNP POS NN
Black Sheep,https://en.wikipedia.org/wiki/Black_Sheep,NNP NNP
High Tension,https://en.wikipedia.org/wiki/High_Tension,JJ NN
15 Maiden Lane,https://en.wikipedia.org/wiki/15_Maiden_Lane,CD NNP NNP
One Mile from Heaven,https://en.wikipedia.org/wiki/One_Mile_from_Heaven,CD NN IN NNP
Heidi,https://en.wikipedia.org/wiki/Heidi,NN
Rebecca of Sunnybrook Farm,https://en.wikipedia.org/wiki/Rebecca_of_Sunnybrook_Farm,NNP IN NNP NNP
Suez,https://en.wikipedia.org/wiki/Suez,NN
Josette,https://en.wikipedia.org/wiki/Josette,NN
The Three Musketeers,https://en.wikipedia.org/wiki/The_Three_Musketeers,DT CD NNS
The Gorilla,https://en.wikipedia.org/wiki/The_Gorilla,DT NNP
Frontier Marshal,https://en.wikipedia.org/wiki/Frontier_Marshal,NNP NNP
Sailor's Lady,https://en.wikipedia.org/wiki/Sailor's_Lady,NNP POS NN
Young People,https://en.wikipedia.org/wiki/Young_People,NN NNS
Trail of the Vigilantes,https://en.wikipedia.org/wiki/Trail_of_the_Vigilantes,NN IN DT NNS
Look Who's Laughing,https://en.wikipedia.org/wiki/Look_Who's_Laughing,NNP WP VBZ VBG
Rise and Shine,https://en.wikipedia.org/wiki/Rise_and_Shine,NN CC NN
